timestamp,low,high,open,close,volume
1647693900.0,41804.18,41885.44,41840.22,41880.23,123.09292952
1647694800.0,41798.76,41915.3,41884.1,41851.84,98.42902214
1647695700.0,41846.77,41961.98,41851.88,41869.42,74.36126057
1647696600.0,41715.72,41899.09,41869.42,41766.34,89.9711984
1647697500.0,41743.42,41814.49,41766.35,41755.53,52.56799962
1647698400.0,41680.95,41792.61,41757.62,41748.99,63.90381256
1647699300.0,41707.27,41787.96,41747.58,41780.99,43.6721686
1647700200.0,41780.98,41846.45,41783.82,41830.11,77.62826301
1647701100.0,41793.4,41866.23,41830.14,41852.82,71.32866386
1647702000.0,41786.85,41977.62,41850.16,41804.89,144.67782066
1647702900.0,41802.86,42027.12,41804.9,41977.55,220.22988058
1647703800.0,41911.41,42109.69,41977.55,42024.97,355.96129342
1647704700.0,41963.24,42068.44,42024.74,41963.24,100.4776356
1647705600.0,41869.62,41987.39,41961.11,41925.99,92.68476291
1647706500.0,41876.64,41993.19,41923.76,41961.12,101.8583493
1647707400.0,41901.76,42184.74,41959.87,42095.74,259.67719675
1647708300.0,41992.0,42143.61,42090.41,42007.25,91.68064172
1647709200.0,41836.72,42030.94,42007.25,41877.18,236.18653346
1647710100.0,41850.82,41935.71,41877.18,41850.82,133.50824293
1647711000.0,41816.0,41912.44,41854.81,41880.85,140.47832457
1647711900.0,41838.59,41945.52,41884.67,41914.7,144.63088072
1647712800.0,41845.8,41948.4,41914.69,41925.42,58.04668318
1647713700.0,41878.84,41956.44,41925.21,41887.39,47.80106925
1647714600.0,41890.58,41982.66,41890.59,41970.81,117.48697643
1647715500.0,41970.79,42077.78,41970.79,42038.0,245.34090628
1647716400.0,41927.76,42074.78,42033.63,42025.69,196.2964634
1647717300.0,41987.26,42064.59,42028.12,41996.82,57.86970472
1647718200.0,41962.11,42110.0,41998.6,42035.42,59.82602774
1647719100.0,41993.1,42087.93,42030.73,42058.66,66.7324761
1647720000.0,41913.82,42062.16,42056.36,41999.01,81.10152681
1647720900.0,41986.8,42080.47,41999.01,42060.35,75.17721469
1647721800.0,42047.27,42429.0,42060.36,42266.47,212.38416265
1647722700.0,42210.02,42336.55,42266.46,42215.81,115.22818086
1647723600.0,42212.47,42295.68,42212.49,42240.39,68.39160651
1647724500.0,42228.67,42375.9,42235.17,42367.67,70.00341879
1647725400.0,42292.81,42389.41,42370.58,42304.13,98.58802341
1647726300.0,42126.77,42313.82,42303.82,42149.96,70.79298237
1647727200.0,41827.88,42208.77,42149.72,41869.12,257.93579403
1647728100.0,41743.06,41914.68,41872.9,41831.39,174.35482017
1647729000.0,41775.03,41924.77,41831.97,41912.9,104.19564502
1647729900.0,41863.27,42022.03,41912.81,41974.52,98.3000379
1647730800.0,41930.26,42099.98,41973.84,42099.31,87.09573943
1647731700.0,42043.32,42263.73,42098.04,42231.78,156.83676541
1647732600.0,42107.24,42324.71,42231.65,42167.64,168.40767958
1647733500.0,42144.1,42257.77,42168.29,42232.26,67.97247865
1647734400.0,42183.32,42330.1,42232.05,42300.6,326.94616855
1647735300.0,42102.89,42320.06,42300.59,42173.03,190.14449623
1647736200.0,41946.07,42176.24,42176.23,42067.87,237.62302665
1647737100.0,42001.82,42102.59,42068.05,42077.13,189.39811574
1647738000.0,41965.08,42116.86,42072.19,42007.21,192.26912711
1647738900.0,41868.76,42044.32,42003.0,41909.01,164.66112195
1647739800.0,41820.0,41946.97,41905.89,41845.59,141.68972485
1647740700.0,41850.87,42031.0,41853.3,41993.18,87.84441035
1647741600.0,41946.17,42074.96,41993.18,42029.65,69.63271212
1647742500.0,41924.08,42048.04,42032.67,41944.95,44.93831186
1647743400.0,41809.0,41958.21,41945.04,41845.11,62.86657099
1647744300.0,41805.79,41888.67,41845.11,41851.02,81.53648176
1647745200.0,41847.63,41956.72,41851.02,41909.77,55.82961338
1647746100.0,41900.27,41969.56,41908.64,41954.53,48.13312696
1647747000.0,41951.73,41988.25,41954.58,41980.8,47.23207591
1647747900.0,41924.28,42009.83,41980.79,41972.15,148.20718923
1647748800.0,41893.01,42007.38,41972.83,41957.28,72.64154328
1647749700.0,41901.4,41988.81,41957.21,41921.27,60.25385118
1647750600.0,41859.06,41961.67,41921.28,41944.13,28.60604044
1647751500.0,41854.73,41949.57,41947.4,41875.48,24.72770889
1647752400.0,41830.01,41973.02,41875.01,41956.65,39.04120454
1647753300.0,41852.07,41962.07,41957.1,41852.07,38.63277438
1647754200.0,41780.0,41918.59,41852.06,41889.05,42.26658667
1647755100.0,41850.76,41939.68,41893.59,41931.66,25.39114282
1647756000.0,41871.98,41963.4,41931.66,41950.18,26.65873609
1647756900.0,41942.05,42037.81,41950.05,42033.0,45.37195611
1647757800.0,41951.58,42033.82,42033.01,41976.45,29.81327925
1647758700.0,41921.34,42005.0,41976.29,41922.53,18.21534871
1647759600.0,41911.99,41990.0,41924.4,41952.89,27.04714001
1647760500.0,41917.12,41980.83,41952.88,41924.15,23.58419712
1647761400.0,41850.28,41957.4,41924.62,41880.91,36.09397287
1647762300.0,41801.9,41900.77,41879.57,41887.57,45.37840992
1647763200.0,41829.93,41916.89,41887.56,41906.58,31.80264041
1647764100.0,41905.11,41950.56,41905.11,41910.92,23.51112064
1647765000.0,41905.47,41965.13,41911.12,41925.09,17.74158439
1647765900.0,41866.68,41943.73,41925.2,41887.04,27.33730393
1647766800.0,41823.07,41909.9,41888.39,41832.7,43.37349603
1647767700.0,41658.64,41847.58,41831.49,41699.49,106.71486053
1647768600.0,41599.0,41789.64,41699.36,41773.39,77.41461374
1647769500.0,41707.33,41804.92,41775.02,41791.78,72.1927008
1647770400.0,41692.5,41807.73,41796.04,41699.75,51.28890182
1647771300.0,41670.12,41748.71,41699.75,41744.9,30.78274139
1647772200.0,41744.9,41864.13,41744.9,41814.78,28.2354571
1647773100.0,41777.07,41833.72,41814.78,41784.12,22.9322366
1647774000.0,41754.2,41847.07,41782.42,41763.3,17.64725152
1647774900.0,41727.85,41808.92,41760.84,41727.85,44.87912695
1647775800.0,41682.31,41739.83,41729.76,41717.83,25.92492041
1647776700.0,41603.11,41756.91,41714.9,41608.08,55.24105689
1647777600.0,41319.3,41665.4,41609.84,41432.23,234.59153576
1647778500.0,41412.11,41610.29,41427.37,41538.06,78.25527054
1647779400.0,41517.43,41721.85,41537.26,41711.39,69.57064385
1647780300.0,41647.79,41712.62,41711.4,41660.8,34.6680723
1647781200.0,41561.44,41698.84,41661.16,41624.18,57.26194843
1647782100.0,41458.5,41629.15,41627.05,41507.2,56.12741814
1647783000.0,41479.95,41597.66,41510.38,41585.68,60.32570176
1647783900.0,41489.96,41622.95,41587.81,41512.63,44.77224925
1647784800.0,41432.23,41712.74,41510.24,41597.22,156.8881415
1647785700.0,41522.72,41648.08,41597.55,41525.03,63.18575337
1647786600.0,41452.53,41571.34,41523.35,41471.44,47.53655933
1647787500.0,41381.46,41505.95,41470.92,41451.19,57.77222828
1647788400.0,41394.0,41554.35,41453.86,41545.07,77.18413854
1647789300.0,41374.55,41580.0,41542.17,41392.64,63.30729992
1647790200.0,41289.66,41395.95,41395.95,41335.79,164.29674765
1647791100.0,41276.38,41420.39,41333.22,41363.98,62.57272413
1647792000.0,41237.16,41446.37,41364.01,41437.26,104.43687978
1647792900.0,41365.41,41530.42,41437.29,41435.29,72.03457101
1647793800.0,41315.38,41485.01,41432.95,41365.55,68.59858328
1647794700.0,41263.18,41423.38,41366.24,41321.11,70.39967428
1647795600.0,41178.0,41353.27,41321.64,41283.61,97.59062404
1647796500.0,41181.3,41331.86,41278.62,41203.13,91.50432589
1647797400.0,40931.24,41207.37,41199.63,41152.29,297.42058835
1647798300.0,40918.72,41168.16,41152.3,41048.92,164.39049753
1647799200.0,40953.04,41175.05,41047.6,41108.21,131.12930468
1647800100.0,41073.16,41256.55,41111.3,41190.94,91.73227054
1647801000.0,41128.68,41219.75,41195.7,41180.5,82.9111208
1647801900.0,41097.53,41266.09,41172.46,41249.97,92.90384182
1647802800.0,41160.6,41317.93,41248.0,41300.17,74.62499877
1647803700.0,41255.72,41339.04,41301.48,41300.25,66.78668617
1647804600.0,41280.62,41404.67,41300.03,41352.49,72.50496695
1647805500.0,41315.22,41441.84,41350.07,41409.78,56.20675799
1647806400.0,41388.38,41680.0,41409.39,41670.87,129.56943381
1647807300.0,41563.97,41711.07,41670.75,41630.99,90.75284998
1647808200.0,41482.01,41637.99,41630.97,41511.81,58.76269545
